Locality,Region_Code
5571,3000.0
5080,3000.0
5543,3000.0
3581,2000.0
3583,2000.0
3590,2000.0
3640,2000.0
3717,2000.0
3891,2000.0
3980,2000.0
8553,2000.0
6870,3000.0
7504,3000.0
7822,3000.0
1401,3000.0
1460,3000.0
2640,2000.0
2382,2000.0
2310,2000.0
2547,2000.0
2845,2000.0
2060,2000.0
2627,2000.0
2381,2000.0
2150,2000.0
2387,2000.0
3472,2000.0
3272,2000.0
3212,2000.0
1640,2000.0
3450,2000.0
1540,2000.0
9473,2000.0
9112,2000.0
9031,2000.0
9308,2000.0
4730,3000.0
4632,3000.0
4351,3000.0
4480,3000.0
4910,3000.0
7510,3000.0
7020,3000.0
6534,3000.0
7860,3000.0
7330,3000.0
7864,3000.0
7100,3000.0
6531,3000.0
3722,2000.0
8550,2000.0
8691,2000.0
8700,2000.0
8760,2000.0
6840,3000.0
6983,3000.0
6987,3000.0
3120,2000.0
1541,2000.0
3270,2000.0
5351,3000.0
5540,3000.0
5550,3000.0
3582,2000.0
3850,2000.0
8480,2000.0
8570,2000.0
8830,2000.0
8978,2000.0
3300,2000.0
3401,2000.0
3210,2000.0
1501,2000.0
1950,2000.0
9771,2000.0
9190,2000.0
9051,2000.0
9700,2000.0
9770,2000.0
4181,3000.0
4342,3000.0
4161,3000.0
4650,3000.0
4257,3000.0
6210,3000.0
7802,3000.0
6200,3000.0
7000,3000.0
7021,3000.0
1033,1000.0
1006,1000.0
1043,1000.0
1060,1000.0
1300,3000.0
2170,2000.0
2630,2000.0
7711,3000.0
6210,3000.0
7190,3000.0
1120,1000.0
1150,1000.0
1320,3000.0
1331,3000.0
1348,3000.0
1404,3000.0
2520,2000.0
2490,2000.0
2530,2000.0
2270,2000.0
5621,3000.0
5640,3000.0
5537,3000.0
5020,3000.0
5377,3000.0
5081,3000.0
3501,2000.0
3620,2000.0
3950,2000.0
8850,2000.0
6821,3000.0
6834,3000.0
6852,3000.0
6853,3000.0
6997,3000.0
1654,2000.0
3118,2000.0
1653,2000.0
9270,2000.0
9290,2000.0
9681,2000.0
4761,3000.0
4140,3000.0
4877,3000.0
4670,3000.0
4750,3000.0
4780,3000.0
4051,3000.0
4652,3000.0
7740,3000.0
6221,3000.0
7942,3000.0
7332,3000.0
7010,3000.0
6500,3000.0
6250,3000.0
7624,3000.0
7611,3000.0
7130,3000.0
6560,3000.0
5560,3000.0
5363,3000.0
5600,3000.0
5641,3000.0
5501,3000.0
5651,3000.0
5030,3000.0
5150,3000.0
3660,2000.0
8610,2000.0
8755,2000.0
6630,3000.0
6660,3000.0
6781,3000.0
6813,3000.0
6920,3000.0
1820,2000.0
1502,2000.0
3370,2000.0
1852,2000.0
1700,2000.0
9860,2000.0
9790,2000.0
9570,2000.0
4458,3000.0
4031,3000.0
4650,3000.0
4560,3000.0
4770,3000.0
6110,3000.0
7034,3000.0
6532,3000.0
6530,3000.0
7604,3000.0
7500,3000.0
7333,3000.0
7803,3000.0
6594,3000.0
7910,3000.0
6120,3000.0
7506,3000.0
7783,3000.0
1200,1000.0
1049,1000.0
1370,3000.0
2590,2000.0
2431,2000.0
2801,2000.0
9570,2000.0
9830,2000.0
9300,2000.0
9340,2000.0
9600,2000.0
9981,2000.0
9850,2000.0
9500,2000.0
9170,2000.0
4624,3000.0
4577,3000.0
4260,3000.0
4821,3000.0
4500,3000.0
4782,3000.0
4671,3000.0
4000,3000.0
4260,3000.0
4672,3000.0
4451,3000.0
4621,3000.0
7823,3000.0
7191,3000.0
6462,3000.0
7623,3000.0
6075,3000.0
6020,3000.0
7601,3000.0
7061,3000.0
1020,1000.0
1090,1000.0
1301,3000.0
1330,3000.0
2610,2000.0
8301,2000.0
8310,2000.0
8421,2000.0
8647,2000.0
8660,2000.0
8800,2000.0
8820,2000.0
8957,2000.0
6686,3000.0
6698,3000.0
6742,3000.0
6836,3000.0
6850,3000.0
6921,3000.0
1931,2000.0
3130,2000.0
3012,2000.0
3271,2000.0
3724,2000.0
3746,2000.0
5024,3000.0
5170,3000.0
5590,3000.0
6769,3000.0
6044,3000.0
6030,3000.0
1780,2000.0
9402,2000.0
9920,2000.0
9185,2000.0
9030,2000.0
9140,2000.0
4141,3000.0
4570,3000.0
6464,3000.0
7861,3000.0
7131,3000.0
7134,3000.0
6181,3000.0
7382,3000.0
7301,3000.0
6230,3000.0
1130,1000.0
1410,3000.0
1474,3000.0
2350,2000.0
2870,2000.0
2360,2000.0
5364,3000.0
5001,3000.0
5000,3000.0
3530,2000.0
3580,2000.0
3742,2000.0
3791,2000.0
3798,2000.0
8460,2000.0
8582,2000.0
8640,2000.0
8690,2000.0
8791,2000.0
8880,2000.0
6600,3000.0
6688,3000.0
6692,3000.0
6980,3000.0
1860,2000.0
1650,2000.0
1742,2000.0
8370,2000.0
8430,2000.0
8680,2000.0
8740,2000.0
8900,2000.0
6662,3000.0
6672,3000.0
6860,3000.0
6970,3000.0
1831,2000.0
3320,2000.0
5500,3000.0
5022,3000.0
5541,3000.0
5542,3000.0
5520,3000.0
3550,2000.0
3793,2000.0
3803,2000.0
3830,2000.0
3831,2000.0
9500,2000.0
4607,3000.0
4730,3000.0
4050,3000.0
4601,3000.0
4784,3000.0
4920,3000.0
4042,3000.0
7320,3000.0
7830,3000.0
7641,3000.0
1040,1000.0
1342,3000.0
1472,3000.0
2200,2000.0
2900,2000.0
2240,2000.0
2940,2000.0
5523,3000.0
3800,2000.0
3941,2000.0
8554,2000.0
8904,2000.0
8954,2000.0
8956,2000.0
8970,2000.0
6900,3000.0
3200,2000.0
1674,2000.0
3054,2000.0
3010,2000.0
3053,2000.0
1105,1000.0
1050,1000.0
2320,2000.0
2321,2000.0
2531,2000.0
9200,2000.0
9991,2000.0
9180,2000.0
9980,2000.0
9881,2000.0
9571,2000.0
4163,3000.0
4990,3000.0
4450,3000.0
4970,3000.0
4053,3000.0
4681,3000.0
7512,3000.0
7620,3000.0
6142,3000.0
7862,3000.0
7300,3000.0
5333,3000.0
3650,2000.0
3665,2000.0
3720,2000.0
3970,2000.0
8770,2000.0
6640,3000.0
6660,3000.0
6687,3000.0
6717,3000.0
6761,3000.0
6950,3000.0
6990,3000.0
3381,2000.0
3052,2000.0
1673,2000.0
1570,2000.0
3140,2000.0
9032,2000.0
9630,2000.0
9130,2000.0
4540,3000.0
4367,3000.0
4834,3000.0
4602,3000.0
4020,3000.0
4300,3000.0
4608,3000.0
7712,3000.0
6032,3000.0
1081,1000.0
1050,1000.0
2330,2000.0
2500,2000.0
8650,2000.0
8750,2000.0
3294,2000.0
1750,2000.0
9472,2000.0
9680,2000.0
9450,2000.0
9401,2000.0
9820,2000.0
4432,3000.0
4102,3000.0
4160,3000.0
4960,3000.0
4630,3000.0
7784,3000.0
6240,3000.0
6041,3000.0
7750,3000.0
6140,3000.0
7941,3000.0
7350,3000.0
7170,3000.0
7780,3000.0
1041,1000.0
1046,1000.0
1402,3000.0
2323,2000.0
2400,2000.0
5376,3000.0
5530,3000.0
5573,3000.0
5361,3000.0
3600,2000.0
3700,2000.0
3990,2000.0
8000,2000.0
8400,2000.0
8431,2000.0
8572,2000.0
8630,2000.0
8670,2000.0
6671,3000.0
6810,3000.0
6832,3000.0
6952,3000.0
6953,3000.0
1745,2000.0
4120,3000.0
5576,3000.0
5352,3000.0
5570,3000.0
5644,3000.0
5522,3000.0
3510,2000.0
3512,2000.0
8434,2000.0
8560,2000.0
8908,2000.0
8972,2000.0
6782,3000.0
6812,3000.0
6820,3000.0
9932,2000.0
9968,2000.0
9636,2000.0
9041,2000.0
4861,3000.0
4623,3000.0
4711,3000.0
4651,3000.0
4830,3000.0
4431,3000.0
4261,3000.0
4600,3000.0
7140,3000.0
6061,3000.0
7730,3000.0
7521,3000.0
7110,3000.0
6567,3000.0
7334,3000.0
6211,3000.0
1070,1000.0
1325,3000.0
1440,3000.0
1457,3000.0
1470,3000.0
1490,3000.0
2620,2000.0
2860,2000.0
2550,2000.0
2390,2000.0
2470,2000.0
2460,2000.0
2890,2000.0
2000,2000.0
